"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M200US10140","Aberdeen, WA Micro Area","27430","1413","18151","1512","9279","1091",
"310M200US10180","Abilene, TX Metro Area","59372","1847","46642","2163","12730","1255",
"310M200US10300","Adrian, MI Micro Area","37016","1454","26606","1376","10410","1007",
"310M200US10380","Aguadilla-Isabela, PR Metro Area","109586","3395","51657","3092","57929","2851",
"310M200US10420","Akron, OH Metro Area","282456","3080","214177","3769","68279","2939",
"310M200US10460","Alamogordo, NM Micro Area","23919","1393","16299","1628","7620","1086",
"310M200US10500","Albany, GA Metro Area","57597","1698","41340","2019","16257","1623",
"310M200US10540","Albany, OR Metro Area","46315","1084","32960","1326","13355","1253",
"310M200US10580","Albany-Schenectady-Troy, NY Metro Area","342766","3643","267936","4159","74830","3456",
"310M200US10700","Albertville, AL Micro Area","33972","1300","24541","1244","9431","977",
"310M200US10740","Albuquerque, NM Metro Area","342590","3660","256127","4706","86463","3216",
"310M200US10780","Alexandria, LA Metro Area","54406","1550","39794","1919","14612","1374",
"310M200US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","314985","3233","244400","3715","70585","3287",
"310M200US11020","Altoona, PA Metro Area","52830","1044","35182","1405","17648","1214",
"310M200US11100","Amarillo, TX Metro Area","95626","1896","77915","2275","17711","1369",
"310M200US11180","Ames, IA Metro Area","37264","1098","30733","1386","6531","985",
"310M200US11260","Anchorage, AK Metro Area","135601","2146","117764","2201","17837","1652",
"310M200US11460","Ann Arbor, MI Metro Area","138099","2174","112547","2565","25552","1497",
"310M200US11500","Anniston-Oxford-Jacksonville, AL Metro Area","44323","1860","31773","2075","12550","1272",
"310M200US11540","Appleton, WI Metro Area","90489","1426","73825","1771","16664","1165",
"310M200US11640","Arecibo, PR Metro Area","66729","2091","31439","2379","35290","2167",
