"GEO_ID","NAME","B19051_001E","B19051_001M","B19051_002E","B19051_002M","B19051_003E","B19051_003M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!With earnings","Margin of Error!!Total!!With earnings","Estimate!!Total!!No earnings","Margin of Error!!Total!!No earnings",
"310M300US10140","Aberdeen, WA Micro Area","29286","1312","19755","1455","9531","1080",
"310M300US10180","Abilene, TX Metro Area","61603","1937","47545","2041","14058","1308",
"310M300US10300","Adrian, MI Micro Area","38559","1367","29596","1456","8963","1045",
"310M300US10380","Aguadilla-Isabela, PR Metro Area","112215","3046","57104","3422","55111","2719",
"310M300US10420","Akron, OH Metro Area","289282","2772","221658","3980","67624","3289",
"310M300US10460","Alamogordo, NM Micro Area","23007","1488","16516","1631","6491","1059",
"310M300US10500","Albany, GA Metro Area","57607","1581","41808","1999","15799","1467",
"310M300US10540","Albany, OR Metro Area","47188","1216","35606","1575","11582","1228",
"310M300US10580","Albany-Schenectady-Troy, NY Metro Area","348421","4010","268645","4493","79776","3399",
"310M300US10700","Albertville, AL Micro Area","34083","1546","23016","1609","11067","1113",
"310M300US10740","Albuquerque, NM Metro Area","347357","3830","257835","5652","89522","4289",
"310M300US10780","Alexandria, LA Metro Area","55634","2083","39000","2323","16634","1600",
"310M300US10900","Allentown-Bethlehem-Easton, PA-NJ Metro Area","320990","3542","244677","4318","76313","3872",
"310M300US11020","Altoona, PA Metro Area","51885","1043","35905","1632","15980","1465",
"310M300US11100","Amarillo, TX Metro Area","97963","2255","79366","2598","18597","1565",
"310M300US11180","Ames, IA Metro Area","37689","1211","32640","1451","5049","826",
"310M300US11260","Anchorage, AK Metro Area","136816","1983","117159","2640","19657","1898",
"310M300US11460","Ann Arbor, MI Metro Area","140729","1922","115309","2519","25420","1767",
"310M300US11500","Anniston-Oxford-Jacksonville, AL Metro Area","44507","1715","31882","1981","12625","1419",
"310M300US11540","Appleton, WI Metro Area","94400","961","75830","1543","18570","1371",
"310M300US11640","Arecibo, PR Metro Area","68855","2565","34495","2440","34360","2344",
"310M300US11700","Asheville, NC Metro Area","190004","3229","136169","4235","53835","2656",
"310M300US11780","Ashtabula, OH Micro Area","36704","1503","26132","1450","10572","1002",
"310M300US11900","Athens, OH Micro Area","22199","1460","15481","1651","6718","1014",
"310M300US11980","Athens, TX Micro Area","32412","1498","22435","1547","9977","1115",
"310M300US12020","Athens-Clarke County, GA Metro Area","76556","2136","61166","2280","15390","1640",
"310M300US12060","Atlanta-Sandy Springs-Roswell, GA Metro Area","2102145","10010","1756081","12020","346064","8338",
"310M300US12100","Atlantic City-Hammonton, NJ Metro Area","97618","2623","72235","3140","25383","2334",
"310M300US12180","Auburn, NY Micro Area","30870","994","22885","1158","7985","825",
"310M300US12220","Auburn-Opelika, AL Metro Area","58555","1892","45429","2234","13126","1702",
"310M300US12260","Augusta-Richmond County, GA-SC Metro Area","211489","4403","154529","4725","56960","3150",
"310M300US12300","Augusta-Waterville, ME Micro Area","49616","1470","36475","1552","13141","1312",
"310M300US12420","Austin-Round Rock, TX Metro Area","755333","5920","652240","6849","103093","4321",
"310M300US12540","Bakersfield, CA Metro Area","269147","3367","212223","4618","56924","3546",
"310M300US12580","Baltimore-Columbia-Towson, MD Metro Area","1053386","6281","843403","7811","209983","5453",
"310M300US12620","Bangor, ME Metro Area","60620","1937","45360","1875","15260","1290",
"310M300US12700","Barnstable Town, MA Metro Area","92148","3008","63985","2930","28163","1884",
"310M300US12940","Baton Rouge, LA Metro Area","299655","4947","235090","6142","64565","3773",
"310M300US12980","Battle Creek, MI Metro Area","54556","1354","39136","1732","15420","1376",
"310M300US13020","Bay City, MI Metro Area","44907","1067","29904","1710","15003","1490",
"310M300US13140","Beaumont-Port Arthur, TX Metro Area","149713","3663","111351","3343","38362","2595",
"310M300US13180","Beaver Dam, WI Micro Area","34228","942","26841","1077","7387","698",
"310M300US13220","Beckley, WV Metro Area","48342","1517","30199","2041","18143","1717",
