series_id,series_name,bls_geo_id
APU0000701111,"Flour, white, all purpose, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000701311,"Rice, white, long grain, precooked (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000701312,"Rice, white, long grain, uncooked, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000701321,"Spaghetti (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000701322,"Spaghetti and macaroni, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702111,"Bread, white, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702112,"Bread, French, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702211,"Bread, rye, pan (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702212,"Bread, whole wheat, pan, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702213,"Bread, wheat blend, pan (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702221,"Rolls, hamburger (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702411,"Cupcakes, chocolate (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702421,"Cookies, chocolate chip, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000702611,"Crackers, soda, salted, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703111,"Ground chuck, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703112,"Ground beef, 100% beef, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703113,"Ground beef, lean and extra lean, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703211,"Chuck roast, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703212,"Chuck roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703213,"Chuck roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703311,"Round roast, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703312,"Round roast, graded and ungraded, excluding USDA Prime and Choice, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703411,"Rib roast, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703421,"Steak, chuck, U.S. choice, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703422,"Steak, T-Bone, USDA Choice, bone-in, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703423,"Steak, porterhouse, U.S. choice, bone-in (cost per pound/453.6 grams) in U.S. city average, average price, not seasonally adjusted",0000
APU0000703425,"Steak, rib eye, USDA Choice, boneless, per lb. (453.6 gm) in U.S. city average, average price, not seasonally adjusted",0000
