census_geo_id,census_geo_name
310M200US10180,"Abilene, TX Metro Area"
310M200US10380,"Aguadilla-Isabela, PR Metro Area"
310M200US10420,"Akron, OH Metro Area"
310M200US10500,"Albany, GA Metro Area"
310M200US10540,"Albany, OR Metro Area"
310M200US10580,"Albany-Schenectady-Troy, NY Metro Area"
310M200US10740,"Albuquerque, NM Metro Area"
310M200US10780,"Alexandria, LA Metro Area"
310M200US10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area"
310M200US11020,"Altoona, PA Metro Area"
310M200US11100,"Amarillo, TX Metro Area"
310M200US11180,"Ames, IA Metro Area"
310M200US11260,"Anchorage, AK Metro Area"
310M200US11460,"Ann Arbor, MI Metro Area"
310M200US11500,"Anniston-Oxford-Jacksonville, AL Metro Area"
310M200US11540,"Appleton, WI Metro Area"
310M200US11640,"Arecibo, PR Metro Area"
310M200US11700,"Asheville, NC Metro Area"
310M200US12020,"Athens-Clarke County, GA Metro Area"
310M200US12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area"
310M200US12100,"Atlantic City-Hammonton, NJ Metro Area"
310M200US12220,"Auburn-Opelika, AL Metro Area"
310M200US12260,"Augusta-Richmond County, GA-SC Metro Area"
310M200US12420,"Austin-Round Rock, TX Metro Area"
310M200US12540,"Bakersfield, CA Metro Area"
310M200US12580,"Baltimore-Columbia-Towson, MD Metro Area"
310M200US12620,"Bangor, ME Metro Area"
310M200US12700,"Barnstable Town, MA Metro Area"
310M200US12940,"Baton Rouge, LA Metro Area"
310M200US12980,"Battle Creek, MI Metro Area"
310M200US13020,"Bay City, MI Metro Area"
310M200US13140,"Beaumont-Port Arthur, TX Metro Area"
310M200US13220,"Beckley, WV Metro Area"
310M200US13380,"Bellingham, WA Metro Area"
310M200US13460,"Bend-Redmond, OR Metro Area"
310M200US13740,"Billings, MT Metro Area"
310M200US13780,"Binghamton, NY Metro Area"
310M200US13820,"Birmingham-Hoover, AL Metro Area"
310M200US13900,"Bismarck, ND Metro Area"
310M200US13980,"Blacksburg-Christiansburg-Radford, VA Metro Area"
310M200US14010,"Bloomington, IL Metro Area"
310M200US14020,"Bloomington, IN Metro Area"
310M200US14100,"Bloomsburg-Berwick, PA Metro Area"
310M200US14260,"Boise City, ID Metro Area"
310M200US14460,"Boston-Cambridge-Newton, MA-NH Metro Area"
310M200US14500,"Boulder, CO Metro Area"
310M200US14540,"Bowling Green, KY Metro Area"
310M200US14740,"Bremerton-Silverdale, WA Metro Area"
310M200US14860,"Bridgeport-Stamford-Norwalk, CT Metro Area"
310M200US15180,"Brownsville-Harlingen, TX Metro Area"
310M200US15260,"Brunswick, GA Metro Area"
310M200US15380,"Buffalo-Cheektowaga-Niagara Falls, NY Metro Area"
310M200US15500,"Burlington, NC Metro Area"
310M200US15540,"Burlington-South Burlington, VT Metro Area"
310M200US15680,"California-Lexington Park, MD Metro Area"
310M200US15940,"Canton-Massillon, OH Metro Area"
310M200US15980,"Cape Coral-Fort Myers, FL Metro Area"
310M200US16020,"Cape Girardeau, MO-IL Metro Area"
310M200US16060,"Carbondale-Marion, IL Metro Area"
310M200US16180,"Carson City, NV Metro Area"
310M200US16220,"Casper, WY Metro Area"
310M200US16300,"Cedar Rapids, IA Metro Area"
310M200US16540,"Chambersburg-Waynesboro, PA Metro Area"
310M200US16580,"Champaign-Urbana, IL Metro Area"
310M200US16620,"Charleston, WV Metro Area"
310M200US16700,"Charleston-North Charleston, SC Metro Area"
310M200US16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
310M200US16820,"Charlottesville, VA Metro Area"
310M200US16860,"Chattanooga, TN-GA Metro Area"
310M200US16940,"Cheyenne, WY Metro Area"
310M200US16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area"
310M200US17020,"Chico, CA Metro Area"
310M200US17140,"Cincinnati, OH-KY-IN Metro Area"
310M200US17300,"Clarksville, TN-KY Metro Area"
310M200US17420,"Cleveland, TN Metro Area"
310M200US17460,"Cleveland-Elyria, OH Metro Area"
310M200US17660,"Coeur d'Alene, ID Metro Area"
310M200US17780,"College Station-Bryan, TX Metro Area"
310M200US17820,"Colorado Springs, CO Metro Area"
310M200US17860,"Columbia, MO Metro Area"
310M200US17900,"Columbia, SC Metro Area"
310M200US17980,"Columbus, GA-AL Metro Area"
310M200US18020,"Columbus, IN Metro Area"
310M200US18140,"Columbus, OH Metro Area"
310M200US18580,"Corpus Christi, TX Metro Area"
310M200US18700,"Corvallis, OR Metro Area"
310M200US18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area"
310M200US19060,"Cumberland, MD-WV Metro Area"
310M200US19100,"Dallas-Fort Worth-Arlington, TX Metro Area"
310M200US19140,"Dalton, GA Metro Area"
310M200US19180,"Danville, IL Metro Area"
310M200US19300,"Daphne-Fairhope-Foley, AL Metro Area"
310M200US19340,"Davenport-Moline-Rock Island, IA-IL Metro Area"
310M200US19380,"Dayton, OH Metro Area"
310M200US19460,"Decatur, AL Metro Area"
310M200US19500,"Decatur, IL Metro Area"
310M200US19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
310M200US19740,"Denver-Aurora-Lakewood, CO Metro Area"
310M200US19780,"Des Moines-West Des Moines, IA Metro Area"
310M200US19820,"Detroit-Warren-Dearborn, MI Metro Area"
310M200US20020,"Dothan, AL Metro Area"
310M200US20100,"Dover, DE Metro Area"
310M200US20220,"Dubuque, IA Metro Area"
310M200US20260,"Duluth, MN-WI Metro Area"
310M200US20500,"Durham-Chapel Hill, NC Metro Area"
310M200US20700,"East Stroudsburg, PA Metro Area"
310M200US20740,"Eau Claire, WI Metro Area"
310M200US20940,"El Centro, CA Metro Area"
310M200US21060,"Elizabethtown-Fort Knox, KY Metro Area"
310M200US21140,"Elkhart-Goshen, IN Metro Area"
310M200US21300,"Elmira, NY Metro Area"
310M200US21340,"El Paso, TX Metro Area"
310M200US21500,"Erie, PA Metro Area"
310M200US21660,"Eugene, OR Metro Area"
310M200US21780,"Evansville, IN-KY Metro Area"
310M200US21820,"Fairbanks, AK Metro Area"
310M200US22020,"Fargo, ND-MN Metro Area"
310M200US22140,"Farmington, NM Metro Area"
310M200US22180,"Fayetteville, NC Metro Area"
310M200US22220,"Fayetteville-Springdale-Rogers, AR-MO Metro Area"
310M200US22380,"Flagstaff, AZ Metro Area"
310M200US22420,"Flint, MI Metro Area"
310M200US22500,"Florence, SC Metro Area"
310M200US22520,"Florence-Muscle Shoals, AL Metro Area"
310M200US22540,"Fond du Lac, WI Metro Area"
310M200US22660,"Fort Collins, CO Metro Area"
310M200US22900,"Fort Smith, AR-OK Metro Area"
310M200US23060,"Fort Wayne, IN Metro Area"
310M200US23420,"Fresno, CA Metro Area"
310M200US23460,"Gadsden, AL Metro Area"
310M200US23540,"Gainesville, FL Metro Area"
310M200US23580,"Gainesville, GA Metro Area"
310M200US23900,"Gettysburg, PA Metro Area"
