,census_geo_id,year,avg_household_earnings,avg_household_earnings_with_earnings,avg_household_earnings_no_earnings
2,310M200US10180,2015,59372,46642,12730
4,310M200US10380,2015,109586,51657,57929
5,310M200US10420,2015,282456,214177,68279
7,310M200US10500,2015,57597,41340,16257
8,310M200US10540,2015,46315,32960,13355
9,310M200US10580,2015,342766,267936,74830
11,310M200US10740,2015,342590,256127,86463
12,310M200US10780,2015,54406,39794,14612
13,310M200US10900,2015,314985,244400,70585
14,310M200US11020,2015,52830,35182,17648
15,310M200US11100,2015,95626,77915,17711
16,310M200US11180,2015,37264,30733,6531
17,310M200US11260,2015,135601,117764,17837
18,310M200US11460,2015,138099,112547,25552
19,310M200US11500,2015,44323,31773,12550
20,310M200US11540,2015,90489,73825,16664
21,310M200US11640,2015,66729,31439,35290
22,310M200US11700,2015,184983,132107,52876
26,310M200US12020,2015,76704,59363,17341
27,310M200US12060,2015,2028705,1689862,338843
28,310M200US12100,2015,101813,78018,23795
30,310M200US12220,2015,58191,45919,12272
31,310M200US12260,2015,210854,157390,53464
33,310M200US12420,2015,723914,622903,101011
34,310M200US12540,2015,263273,207097,56176
35,310M200US12580,2015,1037443,824125,213318
36,310M200US12620,2015,59099,42262,16837
37,310M200US12700,2015,97451,69186,28265
38,310M200US12940,2015,300535,235764,64771
39,310M200US12980,2015,53076,37333,15743
40,310M200US13020,2015,42799,28457,14342
41,310M200US13140,2015,153283,115426,37857
43,310M200US13220,2015,49070,30469,18601
44,310M200US13380,2015,80023,60497,19526
45,310M200US13460,2015,69424,50574,18850
46,310M200US13740,2015,68021,54537,13484
47,310M200US13780,2015,97883,70345,27538
48,310M200US13820,2015,441762,331710,110052
49,310M200US13900,2015,55092,46058,9034
50,310M200US13980,2015,69396,53805,15591
51,310M200US14010,2015,72767,59456,13311
52,310M200US14020,2015,62702,50048,12654
53,310M200US14100,2015,33140,23629,9511
55,310M200US14260,2015,245109,189792,55317
56,310M200US14460,2015,1782655,1441404,341251
57,310M200US14500,2015,124615,103826,20789
58,310M200US14540,2015,62500,46568,15932
62,310M200US14740,2015,98490,75234,23256
63,310M200US14860,2015,333528,270310,63218
64,310M200US15180,2015,122468,94223,28245
65,310M200US15260,2015,46647,34602,12045
66,310M200US15380,2015,467992,340078,127914
67,310M200US15500,2015,63093,46957,16136
68,310M200US15540,2015,85553,69592,15961
69,310M200US15680,2015,39029,32295,6734
70,310M200US15940,2015,162868,123270,39598
71,310M200US15980,2015,263694,165153,98541
72,310M200US16020,2015,35273,26295,8978
73,310M200US16060,2015,48012,34875,13137
74,310M200US16180,2015,22687,16116,6571
75,310M200US16220,2015,32564,26287,6277
76,310M200US16300,2015,107586,86370,21216
78,310M200US16540,2015,59486,45837,13649
79,310M200US16580,2015,92268,72658,19610
80,310M200US16620,2015,94533,65028,29505
82,310M200US16700,2015,273722,216124,57598
83,310M200US16740,2015,905696,732182,173514
84,310M200US16820,2015,87949,70800,17149
85,310M200US16860,2015,209340,155817,53523
86,310M200US16940,2015,37740,29861,7879
87,310M200US16980,2015,3470993,2789467,681526
88,310M200US17020,2015,85289,60960,24329
90,310M200US17140,2015,832607,655730,176877
93,310M200US17300,2015,101265,84320,16945
95,310M200US17420,2015,46389,33513,12876
96,310M200US17460,2015,849475,633798,215677
97,310M200US17660,2015,58675,43023,15652
98,310M200US17780,2015,90526,76081,14445
99,310M200US17820,2015,261435,213895,47540
100,310M200US17860,2015,69152,57386,11766
101,310M200US17900,2015,302634,236319,66315
102,310M200US17980,2015,112983,83754,29229
103,310M200US18020,2015,31131,24613,6518
104,310M200US18140,2015,772304,627730,144574
109,310M200US18580,2015,161634,127927,33707
110,310M200US18700,2015,35062,25990,9072
111,310M200US18880,2015,102729,78319,24410
113,310M200US19060,2015,39120,25233,13887
114,310M200US19100,2015,2479995,2114804,365191
115,310M200US19140,2015,48631,37981,10650
116,310M200US19180,2015,30927,21695,9232
118,310M200US19300,2015,72269,51114,21155
119,310M200US19340,2015,155753,117526,38227
120,310M200US19380,2015,330430,247943,82487
121,310M200US19460,2015,60697,43685,17012
122,310M200US19500,2015,44429,31396,13033
123,310M200US19660,2015,248938,159355,89583
124,310M200US19740,2015,1075919,903913,172006
125,310M200US19780,2015,242022,203303,38719
126,310M200US19820,2015,1674251,1251330,422921
127,310M200US20020,2015,55973,39932,16041
128,310M200US20100,2015,62477,46541,15936
130,310M200US20220,2015,37784,30109,7675
131,310M200US20260,2015,116212,84930,31282
133,310M200US20500,2015,215294,174853,40441
134,310M200US20700,2015,55681,42755,12926
135,310M200US20740,2015,63854,49582,14272
136,310M200US20940,2015,45158,33682,11476
138,310M200US21060,2015,56899,43737,13162
139,310M200US21140,2015,68498,54045,14453
140,310M200US21300,2015,34546,24708,9838
141,310M200US21340,2015,261529,211363,50166
142,310M200US21500,2015,110138,80380,29758
143,310M200US21660,2015,146602,106452,40150
145,310M200US21780,2015,124936,94780,30156
146,310M200US21820,2015,35475,31267,4208
147,310M200US22020,2015,96142,80173,15969
150,310M200US22140,2015,43030,34638,8392
151,310M200US22180,2015,137158,104938,32220
152,310M200US22220,2015,190860,152291,38569
154,310M200US22380,2015,45911,37225,8686
155,310M200US22420,2015,163488,112734,50754
156,310M200US22500,2015,79914,58017,21897
157,310M200US22520,2015,60663,41293,19370
